[2025-07-20 15:31:25] ============================================================
[2025-07-20 15:31:25] INACTIVE PLAYER IMAGE CLEANUP
[2025-07-20 15:31:25] ============================================================
[2025-07-20 15:31:25] 
1. Scanning player images...
[2025-07-20 15:31:25] Found 0 images in american_football
[2025-07-20 15:31:25] Found 0 images in australian_football
[2025-07-20 15:31:25] Found 1395 images in baseball
[2025-07-20 15:31:25] Found 937 images in basketball
[2025-07-20 15:31:25] Found 22 images in darts
[2025-07-20 15:31:25] Found 0 images in golf
[2025-07-20 15:31:25] Found 1335 images in ice_hockey
[2025-07-20 15:31:25] Found 1960 images in mma
[2025-07-20 15:31:25] Found 23 images in motorsport
[2025-07-20 15:31:25] Found 6419 images in soccer
[2025-07-20 15:31:25] Found 45 images in tennis
[2025-07-20 15:31:25] 
2. Processing each sport...
[2025-07-20 15:31:25] 
==================================================
[2025-07-20 15:31:25] CLEANING SPORT: baseball
[2025-07-20 15:31:25] ==================================================
[2025-07-20 15:31:25] ⚠️  BASEBALL player data not available in API-Sports
[2025-07-20 15:31:36]   Home Team Stephen A: 0 active players
[2025-07-20 15:31:37]   Toronto Raptors: 26 active players
[2025-07-20 15:31:37]   USA USA: 0 active players
[2025-07-20 15:31:37]   Utah Jazz: 22 active players
[2025-07-20 15:31:38]   Washington Wizards: 26 active players
[2025-07-20 15:31:38]   World World: 0 active players
[2025-07-20 15:31:38]   Team Africa: 0 active players
[2025-07-20 15:31:39]   Team World: 0 active players
[2025-07-20 15:31:39]   Real Madrid Real Madrid: 0 active players
[2025-07-20 15:31:40]   Rio de Janeiro Flamengo: 0 active players
[2025-07-20 15:31:40]   Barcelona FC Barcelona: 0 active players
[2025-07-20 15:31:40]   Buenos Aires San Lorenzo: 0 active players
[2025-07-20 15:31:41]   Adelaide 36ers: 0 active players
[2025-07-20 15:31:41]   Beijing Ducks: 0 active players
[2025-07-20 15:31:41]   New Zealand Breakers: 0 active players
[2025-07-20 15:31:42]   Perth Wildcats: 0 active players
[2025-07-20 15:31:42]   Team USA: 0 active players
[2025-07-20 15:31:42]   Team World: 0 active players
[2025-07-20 15:31:43]   Team China: 0 active players
[2025-07-20 15:31:43]   Team Croatia: 0 active players
[2025-07-20 15:31:44]   Franca Franca: 0 active players
[2025-07-20 15:31:44]   Utah Blue: 0 active players
[2025-07-20 15:31:44]   Utah White: 0 active players
[2025-07-20 15:31:45]   Ra'anana Maccabi Ra'anana: 0 active players
[2025-07-20 15:31:45]   Cairns Taipans: 0 active players
[2025-07-20 15:31:46]   New Zealand Breakers: 17 active players
[2025-07-20 15:31:46]   Flamengo: 0 active players
[2025-07-20 15:31:46]   Total active NBA players: 0
[2025-07-20 15:31:46] Total active players across 1 leagues: 0
[2025-07-20 15:31:46] 🗑️  Deleted: amon_doerries.png (amon_doerries)
[2025-07-20 15:31:46] 🗑️  Deleted: anton_nufer.png (anton_nufer)
[2025-07-20 15:31:46] 🗑️  Deleted: dorian_grosber.png (dorian_grosber)
[2025-07-20 15:31:46] 🗑️  Deleted: elias_rapieque.png (elias_rapieque)
[2025-07-20 15:31:46] 🗑️  Deleted: gabriele_procida.png (gabriele_procida)
[2025-07-20 15:31:46] 🗑️  Deleted: israel_gonzález.png (israel_gonzález)
[2025-07-20 15:31:46] 🗑️  Deleted: jonas_mattisseck.png (jonas_mattisseck)
[2025-07-20 15:31:46] 🗑️  Deleted: justin_bean.png (justin_bean)
[2025-07-20 15:31:46] 🗑️  Deleted: louis_olinde.png (louis_olinde)
[2025-07-20 15:31:46] 🗑️  Deleted: malte_delow.png (malte_delow)
[2025-07-20 15:31:46] 🗑️  Deleted: martin_hermannsson.png (martin_hermannsson)
[2025-07-20 15:31:46] 🗑️  Deleted: matteo_spagnolo.png (matteo_spagnolo)
[2025-07-20 15:31:46] 🗑️  Deleted: matt_thomas.png (matt_thomas)
[2025-07-20 15:31:46] 🗑️  Deleted: tim_schneider.png (tim_schneider)
[2025-07-20 15:31:46] 🗑️  Deleted: trevion_williams.png (trevion_williams)
[2025-07-20 15:31:46] 🗑️  Deleted: william_mcdowell-white.png (william_mcdowell-white)
[2025-07-20 15:31:46] 🗑️  Deleted: yanni_wetzell.png (yanni_wetzell)
[2025-07-20 15:31:46] 🗑️  Deleted: žiga_samar.png (žiga_samar)
[2025-07-20 15:31:46] 🗑️  Deleted: burak_can_yildizli.png (burak_can_yildizli)
[2025-07-20 15:31:46] 🗑️  Deleted: chris_singleton.png (chris_singleton)
[2025-07-20 15:31:46] 🗑️  Deleted: darius_thompson.png (darius_thompson)
[2025-07-20 15:31:46] 🗑️  Deleted: derek_willis.png (derek_willis)
[2025-07-20 15:31:46] 🗑️  Deleted: doğuş_özdemiroğlu.png (doğuş_özdemiroğlu)
[2025-07-20 15:31:46] 🗑️  Deleted: elijah_bryant.png (elijah_bryant)
[2025-07-20 15:31:46] 🗑️  Deleted: ercan_osmani.png (ercan_osmani)
[2025-07-20 15:31:46] 🗑️  Deleted: erkan_yilmaz.png (erkan_yilmaz)
[2025-07-20 15:31:46] 🗑️  Deleted: jordan_nwora.png (jordan_nwora)
[2025-07-20 15:31:46] 🗑️  Deleted: justus_hollatz.png (justus_hollatz)
[2025-07-20 15:31:46] 🗑️  Deleted: luca_banchi.png (luca_banchi)
[2025-07-20 15:31:46] 🗑️  Deleted: mehmet_demirel.png (mehmet_demirel)
[2025-07-20 15:31:46] 🗑️  Deleted: melih_tunca.png (melih_tunca)
[2025-07-20 15:31:46] 🗑️  Deleted: rodrigue_beaubois.png (rodrigue_beaubois)
[2025-07-20 15:31:46] 🗑️  Deleted: rolands_šmits.png (rolands_šmits)
[2025-07-20 15:31:46] 🗑️  Deleted: salih_altuntas.png (salih_altuntas)
[2025-07-20 15:31:46] 🗑️  Deleted: shane_larkin.png (shane_larkin)
[2025-07-20 15:31:46] 🗑️  Deleted: tyrique_jones.png (tyrique_jones)
[2025-07-20 15:31:46] 🗑️  Deleted: vincent_poirier.png (vincent_poirier)
[2025-07-20 15:31:46] 🗑️  Deleted: alpha_diallo.png (alpha_diallo)
[2025-07-20 15:31:46] 🗑️  Deleted: daniel_theis.png (daniel_theis)
[2025-07-20 15:31:46] 🗑️  Deleted: donatas_motiejunas.png (donatas_motiejunas)
[2025-07-20 15:31:46] 🗑️  Deleted: donta_hall.png (donta_hall)
[2025-07-20 15:31:46] 🗑️  Deleted: furkan_korkmaz.png (furkan_korkmaz)
[2025-07-20 15:31:46] 🗑️  Deleted: georgios_papagiannis.png (georgios_papagiannis)
[2025-07-20 15:31:46] 🗑️  Deleted: jaron_blossomgame.png (jaron_blossomgame)
[2025-07-20 15:31:46] 🗑️  Deleted: jordan_loyd.png (jordan_loyd)
[2025-07-20 15:31:46] 🗑️  Deleted: matthew_strazel.png (matthew_strazel)
[2025-07-20 15:31:46] 🗑️  Deleted: mike_james.png (mike_james)
[2025-07-20 15:31:46] 🗑️  Deleted: nick_calathes.png (nick_calathes)
[2025-07-20 15:31:46] 🗑️  Deleted: petr_cornelie.png (petr_cornelie)
[2025-07-20 15:31:46] 🗑️  Deleted: yoan_makoundou.png (yoan_makoundou)
[2025-07-20 15:31:46] 🗑️  Deleted: élie_okobo.png (élie_okobo)
[2025-07-20 15:31:46] 🗑️  Deleted: allisha_gray.png (allisha_gray)
[2025-07-20 15:31:46] 🗑️  Deleted: brionna_jones.png (brionna_jones)
[2025-07-20 15:31:46] 🗑️  Deleted: brittney_griner.png (brittney_griner)
[2025-07-20 15:31:46] 🗑️  Deleted: cheyenne_parker.png (cheyenne_parker)
[2025-07-20 15:31:46] 🗑️  Deleted: haley_jones.png (haley_jones)
[2025-07-20 15:31:46] 🗑️  Deleted: jordin_canada.png (jordin_canada)
[2025-07-20 15:31:46] 🗑️  Deleted: karl_smesko.png (karl_smesko)
[2025-07-20 15:31:46] 🗑️  Deleted: naz_hillmon.png (naz_hillmon)
[2025-07-20 15:31:46] 🗑️  Deleted: nia_coffey.png (nia_coffey)
[2025-07-20 15:31:46] 🗑️  Deleted: rhyne_howard.png (rhyne_howard)
[2025-07-20 15:31:46] 🗑️  Deleted: shatori_walker-kimbrough.png (shatori_walker-kimbrough)
[2025-07-20 15:31:46] 🗑️  Deleted: bogdan_bogdanović.png (bogdan_bogdanović)
[2025-07-20 15:31:46] 🗑️  Deleted: clint_capela.png (clint_capela)
[2025-07-20 15:31:46] 🗑️  Deleted: cody_zeller.png (cody_zeller)
[2025-07-20 15:31:46] 🗑️  Deleted: daeqwon_plowden.png (daeqwon_plowden)
[2025-07-20 15:31:46] 🗑️  Deleted: david_roddy.png (david_roddy)
[2025-07-20 15:31:46] 🗑️  Deleted: de'andre_hunter.png (de'andre_hunter)
[2025-07-20 15:31:46] 🗑️  Deleted: dominick_barlow.png (dominick_barlow)
[2025-07-20 15:31:46] 🗑️  Deleted: dyson_daniels.png (dyson_daniels)
[2025-07-20 15:31:46] 🗑️  Deleted: garrison_mathews.png (garrison_mathews)
[2025-07-20 15:31:46] 🗑️  Deleted: jalen_johnson.png (jalen_johnson)
[2025-07-20 15:31:46] 🗑️  Deleted: keaton_wallace.png (keaton_wallace)
[2025-07-20 15:31:46] 🗑️  Deleted: kevon_harris.png (kevon_harris)
[2025-07-20 15:31:46] 🗑️  Deleted: kobe_bufkin.png (kobe_bufkin)
[2025-07-20 15:31:46] 🗑️  Deleted: larry_nance_jr..png (larry_nance_jr.)
[2025-07-20 15:31:46] 🗑️  Deleted: mouhamed_gueye.png (mouhamed_gueye)
[2025-07-20 15:31:46] 🗑️  Deleted: onyeka_okungwu.png (onyeka_okungwu)
[2025-07-20 15:31:46] 🗑️  Deleted: quin_snyder.png (quin_snyder)
[2025-07-20 15:31:46] 🗑️  Deleted: seth_lundy.png (seth_lundy)
[2025-07-20 15:31:46] 🗑️  Deleted: trae_young.png (trae_young)
[2025-07-20 15:31:46] 🗑️  Deleted: vit_krejci.png (vit_krejci)
[2025-07-20 15:31:46] 🗑️  Deleted: zaccharie_risacher.png (zaccharie_risacher)
[2025-07-20 15:31:46] 🗑️  Deleted: chima_moneke.png (chima_moneke)
[2025-07-20 15:31:46] 🗑️  Deleted: chris_chiozza.png (chris_chiozza)
[2025-07-20 15:31:46] 🗑️  Deleted: codi_miller-mcintyre.png (codi_miller-mcintyre)
[2025-07-20 15:31:46] 🗑️  Deleted: luka_šamanić.png (luka_šamanić)
[2025-07-20 15:31:46] 🗑️  Deleted: maik_kotsar.png (maik_kotsar)
[2025-07-20 15:31:46] 🗑️  Deleted: markus_howard.png (markus_howard)
[2025-07-20 15:31:46] 🗑️  Deleted: ognjen_jaramaz.png (ognjen_jaramaz)
[2025-07-20 15:31:46] 🗑️  Deleted: pablo_laso.png (pablo_laso)
[2025-07-20 15:31:46] 🗑️  Deleted: pierriá_henry.png (pierriá_henry)
[2025-07-20 15:31:46] 🗑️  Deleted: sander_raieste.png (sander_raieste)
[2025-07-20 15:31:46] 🗑️  Deleted: tadas_sedekerskis.png (tadas_sedekerskis)
[2025-07-20 15:31:46] 🗑️  Deleted: timothé_luwawu-cabarrot.png (timothé_luwawu-cabarrot)
[2025-07-20 15:31:46] 🗑️  Deleted: trent_forrest.png (trent_forrest)
[2025-07-20 15:31:46] 🗑️  Deleted: andreas_obst.png (andreas_obst)
[2025-07-20 15:31:46] 🗑️  Deleted: carsen_edwards.png (carsen_edwards)
[2025-07-20 15:31:46] 🗑️  Deleted: dino_radončić.png (dino_radončić)
[2025-07-20 15:31:46] 🗑️  Deleted: elias_harris.png (elias_harris)
[2025-07-20 15:31:46] 🗑️  Deleted: gordon_herbert.png (gordon_herbert)
[2025-07-20 15:31:46] 🗑️  Deleted: nick_weiler-babb.png (nick_weiler-babb)
[2025-07-20 15:31:46] 🗑️  Deleted: niels_giffey.png (niels_giffey)
[2025-07-20 15:31:46] 🗑️  Deleted: onuralp_bitim.png (onuralp_bitim)
[2025-07-20 15:31:46] 🗑️  Deleted: oscar_da_silva.png (oscar_da_silva)
[2025-07-20 15:31:46] 🗑️  Deleted: shabazz_napier.png (shabazz_napier)
[2025-07-20 15:31:46] 🗑️  Deleted: vladimir_lučić.png (vladimir_lučić)
[2025-07-20 15:31:46] 🗑️  Deleted: žan-mark_šiško.png (žan-mark_šiško)
[2025-07-20 15:31:46] 🗑️  Deleted: andrea_trinchieri.png (andrea_trinchieri)
[2025-07-20 15:31:46] 🗑️  Deleted: artūras_milaknis.png (artūras_milaknis)
[2025-07-20 15:31:46] 🗑️  Deleted: bryant_dunston.png (bryant_dunston)
[2025-07-20 15:31:46] 🗑️  Deleted: edgaras_ulanovas.png (edgaras_ulanovas)
[2025-07-20 15:31:46] 🗑️  Deleted: edmond_sumner.png (edmond_sumner)
[2025-07-20 15:31:46] 🗑️  Deleted: emmanuel_mudiay.png (emmanuel_mudiay)
[2025-07-20 15:31:46] 🗑️  Deleted: ignas_brazdeikis.png (ignas_brazdeikis)
[2025-07-20 15:31:46] 🗑️  Deleted: isaiah_wong.png (isaiah_wong)
[2025-07-20 15:31:46] 🗑️  Deleted: jānis_strēlnieks.png (jānis_strēlnieks)
[2025-07-20 15:31:46] 🗑️  Deleted: karolis_lukošiūnas.png (karolis_lukošiūnas)
[2025-07-20 15:31:46] 🗑️  Deleted: keenan_evans.png (keenan_evans)
[2025-07-20 15:31:46] 🗑️  Deleted: laurynas_birutis.png (laurynas_birutis)
[2025-07-20 15:31:46] 🗑️  Deleted: lukas_lekavičius.png (lukas_lekavičius)
[2025-07-20 15:31:46] 🗑️  Deleted: mantas_kalnietis.png (mantas_kalnietis)
[2025-07-20 15:31:46] 🗑️  Deleted: sylvain_francisco.png (sylvain_francisco)
[2025-07-20 15:31:46] 🗑️  Deleted: tai_webster.png (tai_webster)
[2025-07-20 15:31:46] 🗑️  Deleted: al_horford.png (al_horford)
[2025-07-20 15:31:46] 🗑️  Deleted: anton_watson.png (anton_watson)
[2025-07-20 15:31:46] 🗑️  Deleted: baylor_scheierman.png (baylor_scheierman)
[2025-07-20 15:31:46] 🗑️  Deleted: charles_lee.png (charles_lee)
[2025-07-20 15:31:46] 🗑️  Deleted: derrick_white.png (derrick_white)
[2025-07-20 15:31:46] 🗑️  Deleted: drew_peterson.png (drew_peterson)
[2025-07-20 15:31:46] 🗑️  Deleted: jaden_springer.png (jaden_springer)
[2025-07-20 15:31:46] 🗑️  Deleted: jaylen_brown.png (jaylen_brown)
[2025-07-20 15:31:46] 🗑️  Deleted: jayson_tatum.png (jayson_tatum)
[2025-07-20 15:31:46] 🗑️  Deleted: jd_davison.png (jd_davison)
[2025-07-20 15:31:46] 🗑️  Deleted: joe_mazzulla.png (joe_mazzulla)
[2025-07-20 15:31:46] 🗑️  Deleted: jordan_walsh.png (jordan_walsh)
[2025-07-20 15:31:46] 🗑️  Deleted: jrue_holiday.png (jrue_holiday)
[2025-07-20 15:31:46] 🗑️  Deleted: kristaps_porziņģis.png (kristaps_porziņģis)
[2025-07-20 15:31:46] 🗑️  Deleted: luke_kornet.png (luke_kornet)
[2025-07-20 15:31:46] 🗑️  Deleted: neemias_queta.png (neemias_queta)
[2025-07-20 15:31:46] 🗑️  Deleted: payton_pritchard.png (payton_pritchard)
[2025-07-20 15:31:46] 🗑️  Deleted: ron_harper_jr..png (ron_harper_jr.)
[2025-07-20 15:31:46] 🗑️  Deleted: sam_hauser.png (sam_hauser)
[2025-07-20 15:31:46] 🗑️  Deleted: torrey_craig.png (torrey_craig)
[2025-07-20 15:31:46] 🗑️  Deleted: tristan_enaruna.png (tristan_enaruna)
[2025-07-20 15:31:46] 🗑️  Deleted: xavier_tillman.png (xavier_tillman)
[2025-07-20 15:31:46] 🗑️  Deleted: amari_bailey.png (amari_bailey)
[2025-07-20 15:31:46] 🗑️  Deleted: cameron_johnson.png (cameron_johnson)
[2025-07-20 15:31:46] 🗑️  Deleted: cam_thomas.png (cam_thomas)
[2025-07-20 15:31:46] 🗑️  Deleted: d'angelo_russell.png (d'angelo_russell)
[2025-07-20 15:31:46] 🗑️  Deleted: dariq_whitehead.png (dariq_whitehead)
[2025-07-20 15:31:46] 🗑️  Deleted: day'ron_sharpe.png (day'ron_sharpe)
[2025-07-20 15:31:46] 🗑️  Deleted: de'anthony_melton.png (de'anthony_melton)
[2025-07-20 15:31:46] 🗑️  Deleted: jalen_wilson.png (jalen_wilson)
[2025-07-20 15:31:46] 🗑️  Deleted: jordi_fernández.png (jordi_fernández)
[2025-07-20 15:31:46] 🗑️  Deleted: keita_bates-diop.png (keita_bates-diop)
[2025-07-20 15:31:46] 🗑️  Deleted: keon_johnson.png (keon_johnson)
[2025-07-20 15:31:46] 🗑️  Deleted: maxwell_lewis.png (maxwell_lewis)
[2025-07-20 15:31:46] 🗑️  Deleted: nic_claxton.png (nic_claxton)
[2025-07-20 15:31:46] 🗑️  Deleted: noah_clowney.png (noah_clowney)
[2025-07-20 15:31:46] 🗑️  Deleted: reece_beekman.png (reece_beekman)
[2025-07-20 15:31:46] 🗑️  Deleted: trendon_watford.png (trendon_watford)
[2025-07-20 15:31:46] 🗑️  Deleted: ziaire_williams.png (ziaire_williams)
[2025-07-20 15:31:46] 🗑️  Deleted: brandon_miller.png (brandon_miller)
[2025-07-20 15:31:46] 🗑️  Deleted: bryce_mcgowens.png (bryce_mcgowens)
[2025-07-20 15:31:46] 🗑️  Deleted: charlie_brown_jr..png (charlie_brown_jr.)
[2025-07-20 15:31:46] 🗑️  Deleted: cody_martin.png (cody_martin)
[2025-07-20 15:31:46] 🗑️  Deleted: damion_baugh.png (damion_baugh)
[2025-07-20 15:31:46] 🗑️  Deleted: daquan_jeffries.png (daquan_jeffries)
[2025-07-20 15:31:46] 🗑️  Deleted: duane_washington_jr..png (duane_washington_jr.)
[2025-07-20 15:31:46] 🗑️  Deleted: dāvis_bertāns.png (dāvis_bertāns)
[2025-07-20 15:31:46] 🗑️  Deleted: grant_williams.png (grant_williams)
[2025-07-20 15:31:46] 🗑️  Deleted: josh_green.png (josh_green)
[2025-07-20 15:31:46] 🗑️  Deleted: josh_okogie.png (josh_okogie)
[2025-07-20 15:31:46] 🗑️  Deleted: jt_thor.png (jt_thor)
[2025-07-20 15:31:46] 🗑️  Deleted: keyontae_johnson.png (keyontae_johnson)
[2025-07-20 15:31:46] 🗑️  Deleted: lamelo_ball.png (lamelo_ball)
[2025-07-20 15:31:46] 🗑️  Deleted: leaky_black.png (leaky_black)
[2025-07-20 15:31:46] 🗑️  Deleted: mark_williams.png (mark_williams)
[2025-07-20 15:31:46] 🗑️  Deleted: miles_bridges.png (miles_bridges)
[2025-07-20 15:31:46] 🗑️  Deleted: moussa_diabaté.png (moussa_diabaté)
[2025-07-20 15:31:46] 🗑️  Deleted: nick_smith_jr..png (nick_smith_jr.)
[2025-07-20 15:31:46] 🗑️  Deleted: seth_curry.png (seth_curry)
[2025-07-20 15:31:46] 🗑️  Deleted: taj_gibson.png (taj_gibson)
[2025-07-20 15:31:46] 🗑️  Deleted: tidjane_salaün.png (tidjane_salaün)
[2025-07-20 15:31:46] 🗑️  Deleted: tre_mann.png (tre_mann)
[2025-07-20 15:31:46] 🗑️  Deleted: vasilije_micić.png (vasilije_micić)
[2025-07-20 15:31:46] 🗑️  Deleted: ayo_dosunmu.png (ayo_dosunmu)
[2025-07-20 15:31:46] 🗑️  Deleted: billy_donovan.png (billy_donovan)
[2025-07-20 15:31:46] 🗑️  Deleted: coby_white.png (coby_white)
[2025-07-20 15:31:46] 🗑️  Deleted: dalen_terry.png (dalen_terry)
[2025-07-20 15:31:46] 🗑️  Deleted: e._j._liddell.png (e._j._liddell)
[2025-07-20 15:31:46] 🗑️  Deleted: emanuel_miller.png (emanuel_miller)
[2025-07-20 15:31:46] 🗑️  Deleted: jalen_smith.png (jalen_smith)
[2025-07-20 15:31:46] 🗑️  Deleted: jevon_carter.png (jevon_carter)
[2025-07-20 15:31:46] 🗑️  Deleted: josh_giddey.png (josh_giddey)
[2025-07-20 15:31:46] 🗑️  Deleted: julian_phillips.png (julian_phillips)
[2025-07-20 15:31:46] 🗑️  Deleted: kevin_huerter.png (kevin_huerter)
[2025-07-20 15:31:46] 🗑️  Deleted: lonzo_ball.png (lonzo_ball)
[2025-07-20 15:31:46] 🗑️  Deleted: matas_buzelis.png (matas_buzelis)
[2025-07-20 15:31:46] 🗑️  Deleted: nikola_vučević.png (nikola_vučević)
[2025-07-20 15:31:46] 🗑️  Deleted: patrick_williams.png (patrick_williams)
[2025-07-20 15:31:46] 🗑️  Deleted: talen_horton-tucker.png (talen_horton-tucker)
[2025-07-20 15:31:46] 🗑️  Deleted: tre_jones.png (tre_jones)
[2025-07-20 15:31:46] 🗑️  Deleted: zach_collins.png (zach_collins)
[2025-07-20 15:31:46] 🗑️  Deleted: allie_quigley.png (allie_quigley)
[2025-07-20 15:31:46] 🗑️  Deleted: angel_reese.png (angel_reese)
[2025-07-20 15:31:46] 🗑️  Deleted: ariel_atkins.png (ariel_atkins)
[2025-07-20 15:31:46] 🗑️  Deleted: chennedy_carter.png (chennedy_carter)
[2025-07-20 15:31:46] 🗑️  Deleted: courtney_vandersloot.png (courtney_vandersloot)
[2025-07-20 15:31:46] 🗑️  Deleted: diamond_deshields.png (diamond_deshields)
[2025-07-20 15:31:46] 🗑️  Deleted: elizabeth_williams.png (elizabeth_williams)
[2025-07-20 15:31:46] 🗑️  Deleted: hailey_van_lith.png (hailey_van_lith)
[2025-07-20 15:31:46] 🗑️  Deleted: kamilla_cardoso.png (kamilla_cardoso)
[2025-07-20 15:31:46] 🗑️  Deleted: michaela_onyenwere.png (michaela_onyenwere)
[2025-07-20 15:31:46] 🗑️  Deleted: tyler_marsh.png (tyler_marsh)
[2025-07-20 15:31:46] 🗑️  Deleted: caris_levert.png (caris_levert)
[2025-07-20 15:31:46] 🗑️  Deleted: craig_porter_jr..png (craig_porter_jr.)
[2025-07-20 15:31:46] 🗑️  Deleted: darius_garland.png (darius_garland)
[2025-07-20 15:31:46] 🗑️  Deleted: dean_wade.png (dean_wade)
[2025-07-20 15:31:46] 🗑️  Deleted: donovan_mitchell.png (donovan_mitchell)
[2025-07-20 15:31:46] 🗑️  Deleted: emoni_bates.png (emoni_bates)
[2025-07-20 15:31:46] 🗑️  Deleted: evan_mobley.png (evan_mobley)
[2025-07-20 15:31:46] 🗑️  Deleted: georges_niang.png (georges_niang)
[2025-07-20 15:31:46] 🗑️  Deleted: isaac_okoro.png (isaac_okoro)
[2025-07-20 15:31:46] 🗑️  Deleted: jacob_gilyard.png (jacob_gilyard)
[2025-07-20 15:31:46] 🗑️  Deleted: jarrett_allen.png (jarrett_allen)
[2025-07-20 15:31:46] 🗑️  Deleted: javonte_green.png (javonte_green)
[2025-07-20 15:31:46] 🗑️  Deleted: jules_bernard.png (jules_bernard)
[2025-07-20 15:31:46] 🗑️  Deleted: kenny_atkinson.png (kenny_atkinson)
[2025-07-20 15:31:46] 🗑️  Deleted: marcus_morris_sr..png (marcus_morris_sr.)
[2025-07-20 15:31:46] 🗑️  Deleted: max_strus.png (max_strus)
[2025-07-20 15:31:46] 🗑️  Deleted: sam_merrill.png (sam_merrill)
[2025-07-20 15:31:46] 🗑️  Deleted: tristan_thompson.png (tristan_thompson)
[2025-07-20 15:31:46] 🗑️  Deleted: ty_jerome.png (ty_jerome)
[2025-07-20 15:31:46] 🗑️  Deleted: aneesah_morrow.png (aneesah_morrow)
[2025-07-20 15:31:46] 🗑️  Deleted: astou_ndour-fall.png (astou_ndour-fall)
[2025-07-20 15:31:46] 🗑️  Deleted: lindsay_allen.png (lindsay_allen)
[2025-07-20 15:31:46] 🗑️  Deleted: marina_mabrey.png (marina_mabrey)
[2025-07-20 15:31:46] 🗑️  Deleted: natasha_cloud.png (natasha_cloud)
[2025-07-20 15:31:46] 🗑️  Deleted: rachid_meziane.png (rachid_meziane)
[2025-07-20 15:31:46] 🗑️  Deleted: tiffany_mitchell.png (tiffany_mitchell)
[2025-07-20 15:31:46] 🗑️  Deleted: tina_charles.png (tina_charles)
[2025-07-20 15:31:46] 🗑️  Deleted: a._j._lawson.png (a._j._lawson)
[2025-07-20 15:31:46] 🗑️  Deleted: anthony_davis.png (anthony_davis)
[2025-07-20 15:31:46] 🗑️  Deleted: brandon_williams.png (brandon_williams)
